title="velocity" variables = "X/C", "Y/C", "U","V","Omega","Lamta",zone i=125, j=89, DATAPACKING=POINT
 -0.925333,  2.625333, -0.007452,  0.249024,-2.348774e-01,3.685912e-07
 -0.925333,  2.604000, -0.008238,  0.244324,-2.009359e-02,1.858388e-06
 -0.925333,  2.582667, -0.003536,  0.198775,1.353259e+00,3.546745e-05
 -0.925333,  2.561333, -0.001177,  0.209091,6.279517e-01,2.377224e-05
 -0.925333,  2.540000, -0.013361,  0.157628,2.788983e+00,2.688667e-05
 -0.925333,  2.518667, -0.016351,  0.159980,3.093468e+00,8.040523e-06
 -0.925333,  2.497333, -0.004509,  0.220179,2.561251e+00,9.985430e-06
 -0.925333,  2.476000,  0.000511,  0.213207,1.077752e+00,3.425355e-06
 -0.925333,  2.454667, -0.007348,  0.196955,2.366343e+00,4.243688e-05
 -0.925333,  2.433333, -0.002098,  0.172163,3.071467e+00,1.922334e-05
 -0.925333,  2.412000, -0.000624,  0.139024,3.561104e+00,1.462897e-05
 -0.925333,  2.390667,  0.000566,  0.139012,3.877315e+00,3.749326e-06
 -0.925333,  2.369333, -0.000789,  0.152425,3.729855e+00,9.377863e-06
 -0.925333,  2.348000, -0.000716,  0.159635,3.234065e+00,2.044206e-05
 -0.925333,  2.326667, -0.002625,  0.147444,2.322913e+00,2.328921e-05
 -0.925333,  2.305333, -0.004354,  0.223311,1.196001e+00,1.307539e-05
 -0.925333,  2.284000, -0.003055,  0.241411,5.567712e-01,7.238156e-06
 -0.925333,  2.262667,  0.000630,  0.191541,1.540923e+00,2.043426e-05
 -0.925333,  2.241333,  0.004359,  0.247474,-3.738158e-01,1.335406e-05
 -0.925333,  2.220000,  0.005634,  0.189194,2.361226e+00,2.137652e-05
 -0.925333,  2.198667,  0.003117,  0.173823,3.026085e+00,4.357542e-05
 -0.925333,  2.177333,  0.001166,  0.147510,3.334478e+00,2.765404e-05
 -0.925333,  2.156000, -0.000612,  0.151394,3.104403e+00,3.129264e-05
 -0.925333,  2.134667, -0.000974,  0.217980,2.925886e+00,7.914098e-06
 -0.925333,  2.113333, -0.004859,  0.205317,3.118402e+00,2.094564e-06
 -0.925333,  2.092000, -0.001192,  0.151182,3.007480e+00,1.702584e-05
 -0.925333,  2.070667,  0.001001,  0.194344,1.150367e+00,6.838414e-06
 -0.925333,  2.049333,  0.002979,  0.193479,2.476540e+00,2.982092e-07
 -0.925333,  2.028000,  0.004198,  0.182129,2.831828e+00,3.213803e-05
 -0.925333,  2.006667, -0.001370,  0.157659,3.564753e+00,1.831363e-05
 -0.925333,  1.985333,  0.001404,  0.127023,3.565302e+00,8.741090e-06
 -0.925333,  1.964000,  0.000044,  0.174346,2.752160e+00,1.704359e-06
 -0.925333,  1.942667,  0.001140,  0.184537,2.513770e+00,6.917804e-06
 -0.925333,  1.921333,  0.001809,  0.190660,8.257160e-01,3.581044e-06
 -0.925333,  1.900000,  0.000526,  0.192870,9.709531e-01,7.258644e-06
 -0.925333,  1.878667, -0.005551,  0.185971,2.357806e+00,8.880884e-06
 -0.925333,  1.857333, -0.005455,  0.190451,2.572427e+00,1.252931e-06
 -0.925333,  1.836000, -0.001152,  0.196597,2.568360e+00,6.925434e-06
 -0.925333,  1.814667, -0.002376,  0.163878,2.937039e+00,4.591984e-06
 -0.925333,  1.793333, -0.001394,  0.179212,2.868104e+00,1.224806e-05
 -0.925333,  1.772000, -0.003103,  0.212779,1.128780e+00,1.092774e-05
 -0.925333,  1.750667, -0.003960,  0.231546,6.259540e-01,1.569354e-06
 -0.925333,  1.729333,  0.000267,  0.229208,1.557544e+00,7.609633e-06
 -0.925333,  1.708000, -0.002362,  0.208550,2.136368e+00,7.041654e-07
 -0.925333,  1.686667, -0.000898,  0.163184,2.589034e+00,8.861433e-06
 -0.925333,  1.665333,  0.002229,  0.207904,9.988899e-01,3.349714e-06
 -0.925333,  1.644000,  0.003521,  0.211646,2.425225e+00,5.568633e-07
 -0.925333,  1.622667,  0.000769,  0.206951,2.423097e+00,1.407775e-05
 -0.925333,  1.601333,  0.000390,  0.196274,2.095932e+00,1.014743e-05
 -0.925333,  1.580000, -0.000138,  0.187964,2.066185e+00,3.481314e-05
 -0.925333,  1.558667, -0.001252,  0.181222,2.518157e+00,1.980480e-05
 -0.925333,  1.537333, -0.010914,  0.128248,3.425656e+00,2.876448e-05
 -0.925333,  1.516000, -0.007939,  0.175016,2.953251e+00,5.531729e-07
 -0.925333,  1.494667, -0.002179,  0.220760,2.725396e+00,3.052247e-06
 -0.925333,  1.473333, -0.002549,  0.189527,2.742466e+00,7.212922e-06
 -0.925333,  1.452000, -0.003331,  0.213152,9.685892e-01,6.251182e-06
 -0.925333,  1.430667, -0.001714,  0.214168,1.107343e+00,5.745215e-06
 -0.925333,  1.409333,  0.000233,  0.138031,3.056147e+00,1.128401e-05
 -0.925333,  1.388000, -0.000316,  0.138691,2.498791e+00,5.262490e-06
 -0.925333,  1.366667,  0.000734,  0.204402,9.132991e-01,1.413940e-06
 -0.925333,  1.345333,  0.000720,  0.175054,2.258553e+00,2.398365e-06
 -0.925333,  1.324000, -0.002233,  0.160232,2.503794e+00,3.003166e-06
 -0.925333,  1.302667, -0.000925,  0.222195,8.696697e-01,2.679021e-07
 -0.925333,  1.281333,  0.000530,  0.194606,2.115874e+00,3.986571e-06
 -0.925333,  1.260000, -0.000170,  0.166361,2.420686e+00,3.045286e-05
 -0.925333,  1.238667, -0.006650,  0.174371,2.578733e+00,2.009037e-05
